UID,ItemID,Rating
48,6327,0
522,3634,5
469,289,5
171,5503,5
76,9465,5
164,2765,5
408,6071,5
150,2120,5
849,8077,5
602,1405,5
144,3247,5
497,4226,5
601,2065,5
601,3386,5
585,7842,5
999,7268,5
741,6,5
400,4555,5
851,69,5
460,5269,5
563,7325,5
464,4054,5
834,3832,5
504,12,5
857,2,5
305,2422,5
601,6275,5
283,4888,5
365,2983,5
595,5456,5
230,8456,5
871,5140,5
928,4203,5
418,5708,5
639,7775,5
765,1740,5
708,7303,5
468,2557,5
122,4435,5
782,5236,5
81,4324,5
965,6809,5
64,2106,5
891,196,5
751,5905,5
233,8152,5
404,8454,5
907,2504,5
312,9581,5
579,634,5
707,3291,5
345,1847,5
838,8291,5
332,7711,5
703,5292,5
344,4681,5
58,4107,5
328,9161,5
189,4327,5
793,7135,5
82,7668,5
148,9744,5
661,1689,5
594,3356,5
893,4243,5
470,7398,5
576,9544,5
247,105,5
500,9862,5
379,305,5
583,5425,5
599,3826,5
236,1517,5
942,5183,5
901,5863,5
36,1743,5
881,4821,5
760,5998,5
944,1048,5
855,5237,5
854,2605,5
190,377,5
388,9113,5
750,1958,5
915,272,5
957,4332,5
379,8635,5
286,1333,5
574,4801,5
337,6979,5
68,6863,5
769,2276,5
537,9135,5
538,7609,5
700,9210,5
164,1397,5
78,6528,5
275,1181,5
924,8274,5
544,637,5
643,4659,5
742,7259,5
493,1220,5
531,5508,5
251,1096,5
748,7697,5
607,8383,5
466,6447,5
65,3957,5
96,7165,5
71,8325,5
494,8169,5
687,4580,5
162,2447,5
970,4204,5
597,3545,5
193,1236,5
826,9245,5
910,8930,5
680,6456,5
403,250,5
410,3030,5
493,9089,5
931,7774,5
572,7663,5
256,4584,5
244,2777,5
148,7892,5
461,7371,5
188,3930,5
306,915,5
157,608,5
630,2842,5
282,1359,5
672,4092,5
659,9481,5
121,8805,5
254,8085,5
465,5722,5
679,7078,5
931,4038,5
145,8759,5
805,6542,5
9,5914,5
48,1002,5
310,1087,5
705,26,5
401,8260,5
297,3250,5
599,585,5
668,828,5
733,45,5
773,6904,5
589,9885,5
113,8384,5
570,7509,5
333,8863,5
252,3766,5
422,4518,5
666,8667,5
822,3118,5
784,8929,5
101,5511,5
484,7955,5
150,6637,5
806,9892,5
483,7835,5
528,2590,5
492,7464,5
181,9270,5
187,2627,5
652,344,5
220,4223,5
879,8815,5
229,8584,5
547,9140,5
236,4277,5
121,9553,5
2,6183,5
125,3173,5
366,9442,5
249,8100,5
406,3953,5
22,9690,5
644,5200,5
670,1634,5
676,4410,5
125,8571,5
48,3142,5
121,9940,5
126,4908,5
228,3140,5
448,6123,5
722,9150,5
678,520,5
457,6976,5
13,8299,5
786,7508,5
523,8058,5
550,1307,5
188,699,5
435,5725,5
306,8096,5
533,6599,5
554,7528,5
896,5919,5
634,1814,5
970,4505,5
33,313,5
965,5450,5
536,2742,5
650,6028,5
590,9515,5
36,7331,5
309,6300,5
617,9848,5
516,4820,5
407,1280,5
669,4502,5
775,8912,5
184,7246,5
448,5001,5
952,3069,5
656,2785,5
670,7504,5
61,1375,5
344,350,5
249,1123,5
1,4379,5
320,9136,5
631,4851,5
562,6089,5
609,6682,5
41,2684,5
990,6150,5
176,5518,5
206,5978,5
668,1162,5
595,3152,5
144,8174,5
968,9794,5
599,2495,5
797,1153,5
816,994,5
446,6443,5
911,4005,5
295,8455,5
278,7825,5
615,5328,5
810,6492,5
38,4942,5
464,1641,5
510,4359,5
30,1895,5
900,713,5
444,5055,5
288,3590,5
346,5463,5
335,2796,5
381,605,5
83,7640,5
239,1449,5
328,6466,5
205,2227,5
556,6164,5
659,1497,5
470,5699,5
584,7552,5
181,6028,5
298,7097,5
515,5032,5
724,7547,5
754,5033,5
669,8864,5
836,9192,5
957,1776,5
619,7421,5
454,9401,5
12,1742,5
319,4723,5
151,2523,5
579,3033,5
206,9108,5
376,3920,5
567,1301,5
791,1762,5
193,4478,5
240,2871,5
231,7185,5
545,7822,5
578,2682,5
615,2259,5
990,8591,5
958,5063,5
103,4282,5
877,2849,5
881,9032,5
215,6938,5
516,1301,5
910,838,5
128,1186,5
534,3756,5
999,8248,5
267,1934,5
79,8805,5
920,3564,5
310,7723,5
846,6105,5
459,8904,5
373,6193,5
225,6161,5
356,4687,5
579,6508,5
62,3432,5
340,1240,5
491,4231,5
719,8689,5
834,5148,5
130,3284,5
268,9972,5
623,176,5
15,1848,5
412,3958,5
660,691,5
922,7818,5
127,6725,5
812,8114,5
110,4409,5
258,5260,5
458,85,5
353,1149,5
405,2713,5
72,6304,5
802,1429,5
551,6742,5
792,2970,5
364,6886,5
425,6161,5
962,3318,5
975,7568,5
9,1904,5
421,7646,5
168,3890,5
459,5037,5
159,2389,5
598,5860,5
935,3354,5
935,9246,5
296,776,5
165,6747,5
579,9121,5
107,2427,5
99,7202,5
600,114,5
276,706,5
397,323,5
495,6899,5
158,9832,5
915,7462,5
818,4805,5
96,9628,5
869,631,5
193,8281,5
383,8700,5
780,4377,5
279,1728,5
913,3028,5
251,5748,5
688,3025,5
115,7077,5
879,5014,5
609,7785,5
890,6576,5
20,420,5
828,7535,5
82,6239,5
623,5110,5
934,2092,5
54,9549,5
54,1251,5
173,8166,5
251,6113,5
356,387,5
465,6382,5
575,9790,5
519,1319,5
323,1473,5
716,4239,5
70,7869,5
209,9288,5
644,8938,5
895,2386,5
234,462,5
334,1602,5
440,4590,5
798,8144,5
171,8233,5
816,5734,5
849,2394,5
748,2865,5
8,2915,5
481,8042,0
634,5219,0
613,1879,0
311,7440,0
560,4209,0
541,5723,0
314,9701,0
366,3194,1
204,6168,0
90,5759,1
137,6463,0
217,5933,0
555,6489,0
562,8725,0
345,8131,0
442,2294,0
291,6138,0
51,2059,0
71,2036,0
821,7647,0
364,6995,1
930,5138,0
845,6459,0
752,7375,0
654,5103,0
116,4963,0
833,4254,0
765,6743,0
87,8598,0
167,349,0
129,8737,0
178,5262,0
584,643,0
808,4293,0
605,9557,0
162,2921,0
9,943,0
533,243,0
477,3659,1
676,7892,0
942,7187,0
536,6103,1
911,4425,0
482,8433,0
704,6757,0
735,9440,0
827,9436,1
993,3322,0
715,5982,1
285,4915,1
48,4890,0
292,6943,0
758,3207,0
918,7438,1
281,2851,0
392,1845,0
279,8234,0
381,908,0
758,4868,0
799,6356,0
707,9381,0
329,2305,0
709,555,1
281,8589,1
561,4869,0
969,3830,0
424,1487,0
22,3164,0
201,3627,0
72,3258,0
978,8163,0
50,2871,0
27,4147,0
153,225,1
839,6330,0
672,2007,0
518,5594,1
897,4571,0
994,2412,1
682,9045,0
705,8477,0
230,4974,0
740,4579,0
74,3657,1
477,4354,0
501,4616,0
187,3914,0
983,3095,0
625,8058,0
523,7409,1
197,3286,1
543,6344,0
575,8012,0
25,9524,1
553,4212,0
296,2746,0
899,7870,0
392,6750,0
256,9117,0
634,1697,0
